,Open,High,Low,Close,Volume,net_sentiment,sentiment_imputed
0,28.299999237060547,28.71333312988281,28.11400032043457,28.68400001525879,142981500,0.8995163273066282,0
1,29.36666679382324,30.26666641235352,29.12800025939941,29.53400039672852,266677500,0.973885630548466,0
2,29.36466789245605,30.10400009155273,29.33333206176757,30.1026668548584,151995000,-0.1854369342327118,0
3,30.76000022888184,31.441999435424805,30.224000930786133,31.270666122436523,268231500,-0.355640135705471,0
4,31.57999992370605,33.232666015625,31.21533393859864,32.80933380126953,467164500,-0.4206540882587433,0
5,33.13999938964844,33.25333404541016,31.524667739868164,32.089332580566406,426606000,0.9411232015118004,0
6,32.11933135986328,32.3293342590332,31.57999992370605,31.87666702270508,194392500,-0.8241082245949656,0
7,32.900001525878906,35.04199981689453,32.79999923706055,34.990665435791016,397764000,0.0004843515343964,0
8,36.28400039672852,36.49399948120117,34.99333190917969,35.861331939697266,434943000,-0.9958078029594616,0
9,35.31733322143555,35.85599899291992,34.452667236328125,34.56666564941406,260532000,-0.0105639547109603,0
10,32.91666793823242,34.297332763671875,32.81133270263672,34.232666015625,326050500,-0.2359459996223449,0
11,33.840667724609375,34.37799835205078,33.54399871826172,34.03333282470703,204436500,-0.9087063185870649,0
12,35.349998474121094,36.571998596191406,35.227333068847656,36.47999954223633,267052500,0.8528209483483806,0
13,38.1259994506836,39.633331298828125,37.27333450317383,37.97066879272461,470535000,-0.5971885472536087,0
14,37.61666870117188,38.79999923706055,37.040000915527344,38.14666748046875,294765000,-0.9975293236784636,0
15,38.04199981689453,38.25733184814453,36.95066833496094,37.654666900634766,215304000,0.9779861369170249,0
16,36.13266754150391,37.62933349609375,35.95199966430664,37.20133209228516,204121500,-0.2386998829169897,0
17,37.89933395385742,38.45399856567383,37.2053337097168,37.79333114624024,176827500,0.2302889748243615,0
18,38.37933349609375,39.31999969482422,37.82866668701172,38.732666015625,267022500,-0.7654487313702703,0
19,42.16133117675781,43.391998291015625,41.20000076293945,42.72066879272461,435085500,-0.5775005420437083,0
20,42.66666793823242,43.53333282470703,42.167999267578125,43.37133407592773,235789500,-0.0899842549115419,0
21,44.91266632080078,52.40933227539063,44.90133285522461,52.0,705975000,0.3469086736440658,0
22,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,914082000,-0.7191187278367579,0
23,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,726357000,-0.9992795618309174,0
24,46.66133117675781,53.05533218383789,45.79999923706055,49.93066787719727,598212000,-0.0366311301477253,0
25,48.70333480834961,51.31666564941406,48.66666793823242,49.87133407592773,255952500,-0.1381616024300456,0
26,53.33333206176758,54.66600036621094,50.15999984741211,51.41866683959961,370338000,0.3903328606393188,0
27,51.25266647338867,52.23400115966797,50.53333282470703,51.62533187866211,175462500,-0.9982013750413898,0
28,51.858001708984375,52.650001525878906,50.891334533691406,51.15266799926758,180337500,-0.9819208271801472,0
29,49.45600128173828,54.53333282470703,49.0,53.59999847412109,394339500,-0.4846015333508451,0
30,52.4813346862793,54.198001861572266,52.36666870117188,53.33533477783203,235405500,-0.9963479657890276,0
31,56.106666564941406,57.33333206176758,55.490665435791016,57.22666549682617,245725500,-0.99510782136349,0
32,61.56666564941406,62.98533248901367,60.06800079345703,61.16133117675781,381345000,-0.4428008794784546,0
33,60.79666519165039,60.79999923706055,57.3293342590332,59.96066665649414,264523500,0.0376772114541381,0
34,60.46533203125,60.87066650390625,58.6966667175293,60.06666564941406,214722000,-0.9983722210163252,0
35,55.93333435058594,57.56666564941406,54.81333160400391,55.58599853515625,227883000,-0.0615690378472209,0
36,56.59999847412109,57.106666564941406,52.46666717529297,53.32733154296875,259357500,-0.2569178640842438,0
37,52.16666793823242,54.22066879272461,51.740665435791016,51.91999816894531,211282500,-0.9954967079684138,0
38,48.66666793823242,49.31800079345703,44.59999847412109,45.26666641235352,364158000,-0.0560478512197732,0
