Date,Open,High,Low,Close,Volume
2018-11-01 00:00:00-04:00,39.08822054056645,39.366195871385116,38.67125598493953,39.03099060058594,16494500
2018-11-02 00:00:00-04:00,39.09640478932973,39.243568420410156,38.78572566607121,39.243568420410156,17584900
2018-11-05 00:00:00-05:00,39.24356454912181,39.88127147502958,39.17815711118342,39.80768966674805,16543500
2018-11-06 00:00:00-05:00,39.774982476971715,40.167417683191566,39.73410127563395,40.151065826416016,14373400
2018-11-07 00:00:00-05:00,40.37998024206364,40.510791960165996,40.085653096634,40.36362838745117,12239700
2018-11-08 00:00:00-05:00,40.15923968263536,40.363633211523286,40.1428878260686,40.3309326171875,9762800
2018-11-09 00:00:00-05:00,40.37999862563896,40.78878582066474,40.35547239195303,40.617095947265625,12398100
2018-11-12 00:00:00-05:00,40.559854879610434,41.074927477521705,40.50262493748673,40.772422790527344,13918300
2018-11-13 00:00:00-05:00,40.72336599939772,40.87870395164684,40.535324335475856,40.764244079589844,13872900
2018-11-14 00:00:00-05:00,40.75607310611532,40.829654909740405,40.54350518386402,40.682491302490234,12106800
2018-11-15 00:00:00-05:00,40.60072646078049,40.67430824869586,40.28187308607971,40.666133880615234,12080100
2018-11-16 00:00:00-05:00,40.60073490820639,41.08310381405871,40.576208680064134,41.017696380615234,13405800
2018-11-19 00:00:00-05:00,41.1321648174669,41.5000707633467,41.08310923591029,41.295677185058594,13575800
2018-11-20 00:00:00-05:00,41.54912830076981,41.565480162058414,40.232833095623874,40.371822357177734,16255300
2018-11-21 00:00:00-05:00,40.249176340011516,40.42086616858707,39.72592936599195,39.840389251708984,13559200
2018-11-23 00:00:00-05:00,39.856738742032384,40.24917394923666,39.69322329266449,40.077484130859375,4792500
2018-11-26 00:00:00-05:00,40.069309129184006,40.24917644652848,39.79133378365072,39.95484924316406,9341900
2018-11-27 00:00:00-05:00,39.96301886523656,40.396332096676105,39.840381515041756,40.36362838745117,9180700
2018-11-28 00:00:00-05:00,40.23282968017258,40.649794310638484,40.23282968017258,40.64161682128906,11368700
2018-11-29 00:00:00-05:00,40.60864987709242,40.73225701175828,40.353199742524325,40.3614387512207,11564300
2018-11-30 00:00:00-05:00,40.377925604020206,41.60574554122424,40.369686594162395,41.53158187866211,25538200
2018-12-03 00:00:00-05:00,41.09483763545397,41.16900129571025,40.287279525696874,40.946510314941406,14877200
2018-12-04 00:00:00-05:00,41.17724411167708,41.62222293691804,40.78994464149695,40.85586929321289,19059900
2018-12-06 00:00:00-05:00,40.798181951934815,40.89706892538996,40.09774984565909,40.69105911254883,17674900
2018-12-07 00:00:00-05:00,40.84761816596549,40.938262970430415,40.2790323154033,40.45207977294922,15565700
2018-12-10 00:00:00-05:00,40.748742530110974,40.748742530110974,39.94118442272782,40.5756950378418,12331100
2018-12-11 00:00:00-05:00,40.86410782925528,41.21020281637085,40.5262518517785,40.822906494140625,18083600
